"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Cursus ingénieur","Sciences, Technologie, Santé","Construction, ville, économie, industrie, mathématiques","Cursus ingénieur en 3 ans avec 6 majeures à choisir dès la  2ème année : génie civil construction, ville environnement transport, génie mécanique matériaux, génie industriel, sciences économiques gestion finance, ingénierie mathématique et informatique","Bac+2","Bac+5","3.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Non indiqué","Evaluation environnementale et  conception","Eco conception, ACV, matériaux biosourcés","Non indiqué","1.5","non indiqué","examen final et participation","Seul cours (?) en lien avec l'environnement dans la majeure génie des matériaux",""
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Oui","Changement climatique","Systèmes climatiques, usage des sols, évalutation économique des politiques climatiques, après Kyoto","Non indiqué","3.0","39.0","Examen final","Cours généraliste sur le CC qu'on pourrait retrouver dans les autres masters et dans le cursus d'ingénieur !","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Improbable","Choix des infrastructures de transport et durabilité","Principe de ""durabilité"", évaluer les facteurs techniques, économiques, environnementaux, politiques et sociaux qui vont peser sur l'élaboration d'une infrastructure. ","Non indiqué","3.5","30.0","Etude de cas.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Improbable","Défis et définition des mobilités durables","Enjeux des transports durables ; des espaces urbains et régionaux ; des systèmes de transport tant dans leur dimension technique que managériale ; des déterminants de la mobilité.","Non indiqué","4.0","42.0","Projet par petits groupes (4) sur l'analyse de la durabilité d'un système de transport urbain qui passerait entres autres sur une analyse des déterminants des mobilités, de durabilité des modes en oeuvre (analyse dans les dimensions techniques, organisationnelles et économiques).","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Improbable","Développement durable : jeux d'acteurs et enjeu d'action collective","Développement durable, rôle des acteurs, RSE, ","Non indiqué","2.0","21.0","Examen terminal.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","www.enpc.fr/fr/formations/dea_masters/tradd/tradd_cours_efortin.htm ","Oui","Improbable","Economie de l'environnement","Notions fondamentales d'économe (élasticité, utilité, surplus, etc.), externalités environnementales liées aux transports,","Non indiqué","2.0","21.0","Trois examens type QCM ou QRC tout au long du module","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Improbable","Economie des transports","Présentation des univers de mobilité, voyageurs et fret, avec les données chiffrées et les évolutions historiques et leurs cycles, enjeux économiques et financiers des transports, mesure et prévision de la demande de transport, modèle économique des opérateurs de transport, déterminants de la mobilité urbaine, etc.","Non indiqué","2.0","33.0","Contrôle des connaissances d'une heure au cours de la dernière séance (réponse à des questions) et un travail personnel à réaliser sur un sujet de politique de transport sur un sujet défini en liaison avec le responsable du module.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Oui","Oui","Externalités des transports : éléments d'analyse","Pollution de l'air, contribution aux émissions atmosphériques, impacts sanitaires et économiques","Non indiqué","2.0","21.0","Examen terminal","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Non","Non","Ingénierie des véhicules respectueux de l'environnement - 1","","","","","","On pourrait s'attendre, avec un cours de ce type, à ce que les problématiques environnementales et plus spécifiquement climatiques (le secteur des transports contribuant énormément au changement climatique) soient abordées. Or, cela ne semble pas être le cas au vu du descriptif de l'enseignement.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transport et développement durable ","Sciences, Technologie, Santé","Transport","Ingénierie, sciences sociales et management aplliqués au transport durable","Bac+4","Bac+5","1.0","Non indiqué","http://gede.enpc.fr/Programme/Fiche.aspx","Non","Non","Ingénierie des véhicules respectueux de l'environnement - 2","","","","","","On pourrait s'attendre, avec un cours de ce type, à ce que les problématiques environnementales et plus spécifiquement climatiques (le secteur des transports contribuant énormément au changement climatique) soient abordées. Or, cela ne semble pas être le cas au vu du descriptif de l'enseignement.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Gestion et traitement des eaux, des sols et des déchets ","Sciences, Technologie, Santé","Eau, sols, déchets","Master professionnel qui vise à former des cadres de haut niveau capables d’intervenir sur le marché du travail de manière innovante dans l’identification, la gestion et le traitement des problèmes environnementaux. Il répond à un besoin exprimé par les entreprises françaises en matière de formation de cadres dans les pays émergents. Il a pour objectif de donner à des étudiants internationaux une solide et large formation scientifique, leur permettant de comprendre la dynamique des géosystèmes (eau, sol), d’évaluer les impacts générés par les activités humaines et de mettre en œuvre les outils, techniques et dispositifs permettant de les corriger. ","Bac+4","Bac+5","1.5","90.0","http://www.enpc.fr/master-gtesd-gestion-traitement-eaux-sols-dechets","Oui","Oui","Connaissances des milieux, hydrologie et hydrogéologie","Fonctionnement de l'atmosphère, climatologie (climat, qualité de l'air, polluants atmosphériques et leurs impacts)","Non indiqué","7.5","54.0","Non indiqué","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Gestion et traitement des eaux, des sols et des déchets ","Sciences, Technologie, Santé","Eau, sols, déchets","Master professionnel qui vise à former des cadres de haut niveau capables d’intervenir sur le marché du travail de manière innovante dans l’identification, la gestion et le traitement des problèmes environnementaux. Il répond à un besoin exprimé par les entreprises françaises en matière de formation de cadres dans les pays émergents. Il a pour objectif de donner à des étudiants internationaux une solide et large formation scientifique, leur permettant de comprendre la dynamique des géosystèmes (eau, sol), d’évaluer les impacts générés par les activités humaines et de mettre en œuvre les outils, techniques et dispositifs permettant de les corriger. ","Bac+4","Bac+5","1.5","90.0","http://www.enpc.fr/master-gtesd-gestion-traitement-eaux-sols-dechets","Oui","Improbable","Economie, droit de l'environnement et gestion de projet","Droit de l'environnement","Non indiqué","4.0","53.0","Non indiqué","Cours abordant trois notions différentes (économie, droit de l'environnement et gestion de projet) abordées). Semble léger en termes de contenu et de précisions apportées aux différents sujets traités au sein de l'enseignement.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Gestion et traitement des eaux, des sols et des déchets ","Sciences, Technologie, Santé","Eau, sols, déchets","Master professionnel qui vise à former des cadres de haut niveau capables d’intervenir sur le marché du travail de manière innovante dans l’identification, la gestion et le traitement des problèmes environnementaux. Il répond à un besoin exprimé par les entreprises françaises en matière de formation de cadres dans les pays émergents. Il a pour objectif de donner à des étudiants internationaux une solide et large formation scientifique, leur permettant de comprendre la dynamique des géosystèmes (eau, sol), d’évaluer les impacts générés par les activités humaines et de mettre en œuvre les outils, techniques et dispositifs permettant de les corriger. ","Bac+4","Bac+5","1.5","90.0","http://www.enpc.fr/master-gtesd-gestion-traitement-eaux-sols-dechets","Oui","Non","Traitements de potabilisation, écotoxicologie et qualité des eaux","Micro-polluants dans le milieu aquatique, mesurer un impact sur l'environnement, introduction à l’évaluation du risque pour l’environnement des substances chimiques.","Non indiqué","5.5","66.0","Non indiqué","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Gestion et traitement des eaux, des sols et des déchets ","Sciences, Technologie, Santé","Eau, sols, déchets","Master professionnel qui vise à former des cadres de haut niveau capables d’intervenir sur le marché du travail de manière innovante dans l’identification, la gestion et le traitement des problèmes environnementaux. Il répond à un besoin exprimé par les entreprises françaises en matière de formation de cadres dans les pays émergents. Il a pour objectif de donner à des étudiants internationaux une solide et large formation scientifique, leur permettant de comprendre la dynamique des géosystèmes (eau, sol), d’évaluer les impacts générés par les activités humaines et de mettre en œuvre les outils, techniques et dispositifs permettant de les corriger. ","Bac+4","Bac+5","1.5","90.0","http://www.enpc.fr/master-gtesd-gestion-traitement-eaux-sols-dechets","Oui","Non","Dépollution et réhabilitation des sites et sols pollués et gestion de la ressource","Gestion de l'eau, polluants organiques","Non indiqué","6.0","21.0","Non indiqué","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Gestion et traitement des eaux, des sols et des déchets ","Sciences, Technologie, Santé","Eau, sols, déchets","Master professionnel qui vise à former des cadres de haut niveau capables d’intervenir sur le marché du travail de manière innovante dans l’identification, la gestion et le traitement des problèmes environnementaux. Il répond à un besoin exprimé par les entreprises françaises en matière de formation de cadres dans les pays émergents. Il a pour objectif de donner à des étudiants internationaux une solide et large formation scientifique, leur permettant de comprendre la dynamique des géosystèmes (eau, sol), d’évaluer les impacts générés par les activités humaines et de mettre en œuvre les outils, techniques et dispositifs permettant de les corriger. ","Bac+4","Bac+5","1.5","90.0","http://www.enpc.fr/master-gtesd-gestion-traitement-eaux-sols-dechets","Oui","Non","Gestion et traitement des déchets","Gestion et traitement des déchets","Non indiqué","6.0","72.0","Non indiqué","Cours qui indique ""insister particulièrement sur les relations entre la gestion des déchets (de la production à leur élimination en passant par leur valorisation) et ses impacts environnementaux (sur la qualité des compartiments sol, eau ou air)"". Pourtant, cela ne se retrouve pas dans la liste des sujets abordés dans le descriptif en ligne.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Gestion et traitement des eaux, des sols et des déchets ","Sciences, Technologie, Santé","Eau, sols, déchets","Master professionnel qui vise à former des cadres de haut niveau capables d’intervenir sur le marché du travail de manière innovante dans l’identification, la gestion et le traitement des problèmes environnementaux. Il répond à un besoin exprimé par les entreprises françaises en matière de formation de cadres dans les pays émergents. Il a pour objectif de donner à des étudiants internationaux une solide et large formation scientifique, leur permettant de comprendre la dynamique des géosystèmes (eau, sol), d’évaluer les impacts générés par les activités humaines et de mettre en œuvre les outils, techniques et dispositifs permettant de les corriger. ","Bac+4","Bac+5","1.5","90.0","http://www.enpc.fr/master-gtesd-gestion-traitement-eaux-sols-dechets","Oui","Non","Management environnemental","Introduction au management environnemental – de la norme ISO 14 000 et les étapes principales de sa mise en place effective, et de faire acquérir aux étudiants les outils et méthodes utilisées dans cette démarche pour l'évaluation environnementale de produits et de service et l'éco-conception","Non indiqué","1.0","12.0","Non indiqué","Le descriptif n'indique pas que le cours entre en profondeur sur le sujet des problématiques environnementales, il semble aborder uniquement les normes existantes et les solutions.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Mobilités et véhicules électriques","Sciences, Technologie, Santé","Mobilité","Forme des ingénieurs aux technologies nécessaires à la conception des véhicules du futur. Questions abordées sous plusieurs axes : compréhension nécessaire aux besoins en mobilité, possibles réponses durables d'un point de vue technique, compormental et organisationnel","Bac+4","Bac+5","","Non indiqué","http://www.enpc.fr/master-mve-mobilites-vehicules-electriques","Oui","Non","Enjeux des mobilités durables","Mobilités durables","Obligatoire","Non indiqué","51.0","Non indiqué","Seul cours de la formation qui semble aborder les problématiques environnementales mais rien de sûr en raison du peu d'informations disponibles en ligne. ","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master mathématiques appliquées à la finance","Sciences, Technologie, Santé","Mathématiques","Parcours axé sur les techniques de quantification et de couverture des risques sur les marchés financiers. ","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/master-maf-mathematiques-appliquees-finance ","Non","Non","","","","","","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master mathématiques, vision, apprentissage","Sciences, Technologie, Santé","Mathématiques","Forme depuis sa création chaque année plusieurs dizaines d'étudiants des universités et des grandes écoles aux métiers de la recherche publique et privée dans le domaine des mathématiques appliquées au traitement des données, des images et des signaux.","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/master-mva-mathematique-vision-apprentissage ","Non","Non","","","","","","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master modélisation, analyse, simulation","Sciences, Technologie, Santé","Mathématiques","Etude théorique et numérique des problèmes modélisés par des équations aux dérivées partielles linéaires et non linéaires provenant de domaines variés tels que la physique, les sciences de l'ingénieur, la chimie, la biologie, l'économie ainsi que les méthodes de calcul scientifique.","Bac+4","Bac+5","1.0","Non indiqué","https://www.ljll.math.upmc.fr/MathModel/presentation/anedp.html ","Non","Non","","","","","","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master recherche opérationnelle","Sciences, Technologie, Santé","Mathématiques","L’objectif du Master RO est de former des experts en recherche opérationnelle capables de modéliser et résoudre des problèmes industriels complexes et de mener des recherches fondamentales et appliquées dans cette discipline.","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/master-ro-recherche-operationnelle ","Non","Non","","","","","","","Un cours optionnel (Recherche opérationnelle et développement durable) pourrait aborder les problématiques environnementales mais les informations disponibles en ligne, sur la page dédiée à la formation, ne permettent pas de le vérifier.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master durabilité des matériaux et des structures pour l'énergie","Sciences, Technologie, Santé","Mathématiques","Ce parcours vise à former des personnels de haut niveau scientifique, susceptibles de prendre en charge les problématiques de durabilité des installations futures et de renforcement des installations existantes (Conceptions de nouvelles structures durables pour le secteur de l’énergie, par exemple des éoliennes offshore ; Analyse des infrastructures pour l’énergie vieillissantes. Mise en place, si cela est pertinent, de procédés de renforcement des installations. Infrastructures principalement concernées : REP et barrages)","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/sites/enpc.fr/files/ckfinder/ckfinder/files/DE/Master/dmse/presentation_parcours_dmse_v2.pdf ","Improbable","Oui","Le système énergétique de production d'électricité","A l’issue de cette formation les diplômés doivent pouvoir être des participants actifs et éclairés, du débat de société sur les choix énergétiques pour notre pays. Ils ont besoin d’une culture générale importante sur le domaine et d’avoir des connaissances précises sur les divers aspects du secteur de l’énergie.","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Peu d'informations disponibles sur le contenu réel du cours. ","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master énergie, spécialité démantèlement et gestion des déchets","Sciences, Technologie, Santé","Energie","Cette formation apporte les connaissances nécessaires liées aux opérations de démantèlement des centrales nucléaires anciennes et à la gestion des déchets. Elle couvre également l’ensemble des mesures destinées à assurer la protection de l’homme et de son environnement associées à ces activités.","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/master-energie-specialite-demantelement-gestion-dechets ","Improbable","Improbable","","","","","","","Il n'y a pas suffisamment d'informations en ligne pour savoir si les questions environnementales et climatiques sont abordées au sein de cette formation.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master Transition énergétique et territoires","Sciences, Technologie, Santé","Energie","Il s'agit de former à la simulation, la modélisation, la conception, l'évaluation et l'exploitation d'un système (véhicule, bâtiment, procédés, produit, service…) en termes de performance énergétique observée, de l'échelle des matériaux à celle de la ville en passant par celle du bâtiment, des réseaux, des systèmes de transport, le tout en cohérence avec les enjeux géopolitiques de l'énergie, en mettant un accent particulier sur l'acceptabilité et l'échelle en jeu.","Bac+4","Bac+5","1.0","Non indiqué","","Improbable","Oui","Ressources minières et énergétiques : évaluation et prospective","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Non indiqué","Au vu de l'intitulé du cours, il semblerait que les questions de ressources énergétiques soient abordées au sein de cette formation. Cependant, il n'y a pas suffisamment d'informations en ligne pour le confirmer. ","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master approches multi échelles pour les matériaux et les structures","Sciences, Technologie, Santé","Matériaux","Le master ""Approches multi échelles pour les materiaux et les structures"" permet aux étudiants d’acquérir une formation théorique et pratique de haut niveau, en matière de modélisation et de simulation numérique dans les domaines suivants de la mécanique (mécanique des solides et mécanique des structures et des ouvrages, mécanique et physique des matériaux hétérogènes qui résultent d’un assemblage de plusieurs constituants à des échelles différentes) en tenant compte des préoccupations actuelles des industriels, des problématiques posées par la recherche technologique dans le court terme et moyen terme et des problématiques de recherche du secteur dans le long terme.","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/master-amms-approches-multi-echelles-materiaux-structures ","Non","Non","","","","","","","Peu d'informations disponibles en ligne.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master mécanique des sols, des roches et des ouvrages dans leur environnement","Sciences, Technologie, Santé","Mécanique","Forme des modélisateurs performants en géotechnique en ciblant sur des aspects à forte demande industrielle actuelle et à venir tels que l'aménagement urbain et l'aménagement dans un environnement difficile, la géotechnique liée à la pollution, aux déchets et aux risques majeurs, ainsi que de façon plus générale à la protection de notre environnement.","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/master-msroe-mecanique-sols-roches-ouvrages-environnement ","Non","Non","","","","","","","Peu d'informations disponibles en ligne.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master sciences des matériaux pour la construction durable","Sciences, Technologie, Santé","Matériaux","Cette formation permet d’acquérir les bases scientifiques nécessaires à une approche multidisciplinaire et multi-échelles du comportement des matériaux, de l'optimisation de leur fabrication, de leurs propriétés d'usage et de leur durabilité sous conditions environnementales définies. Organisée en modules thématiques dans les domaines de la physique, de la mécanique, de la chimie, et de la simulation numérique, et en modules d’ouverture aux problématiques environnementales et énergétiques, cette formation prépare aux métiers de la recherche et du développement dans les entreprises de pointe et les laboratoires de recherche.","Bac+4","Bac+5","1.0","Non indiqué","https://www.enpc.fr/master-smcd-science-materiaux-construction-durable ","Non indiqué","Non indiqué","","","","","","","Il n'y a pas suffisamment d'informations en ligne pour savoir si les questions environnementales et climatiques sont abordées au sein de cette formation.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master transport et mobilité","Sciences, Technologie, Santé","Transports","Former des spécialistes de transport des personnes et des biens, à partir d'une culture multidisciplinaire (économie, gestion, ingénierie, sciences politiques, droit, aménagement, environnement) ouvrant soit sur des projets de recherche (thèse en laboratoires ou en entreprises) soit sur des projets professionnels en bureaux d'études, dans les entreprises de transport et chez les chargeurs, dans les administrations en charge de transports et chez les gestionnaires de réseaux.","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/master-tm-transport-mobilite ","Oui","Non indiqué","Transports et conflits d'environnement","Non indiqué","Non indiqué","3.0","Non indiqué","Non indiqué","Aucune information disponible à l'exception du nom du cours donc difficile de se faire une idée du contenu de cet enseignement.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Ponts ParisTech","Master transport et mobilité","Sciences, Technologie, Santé","Transports","Former des spécialistes de transport des personnes et des biens, à partir d'une culture multidisciplinaire (économie, gestion, ingénierie, sciences politiques, droit, aménagement, environnement) ouvrant soit sur des projets de recherche (thèse en laboratoires ou en entreprises) soit sur des projets professionnels en bureaux d'études, dans les entreprises de transport et chez les chargeurs, dans les administrations en charge de transports et chez les gestionnaires de réseaux.","Bac+4","Bac+5","1.0","Non indiqué","http://www.enpc.fr/master-tm-transport-mobilite ","Oui","Non indiqué","Transports, environnement, développement durable","Non indiqué","Non indiqué","4.0","Non indiqué","Non indiqué","Aucune information disponible à l'exception du nom du cours donc difficile de se faire une idée du contenu de cet enseignement.","1.0"
